作者,歌名,BPM,拍号,热度
Vic Chou,Make A Wish,117.91,4/4拍,31
劉珺兒,萬水千山總是情,117.92,4/4拍,31
Sodagreen,他舉起右手點名,118,4/4拍,31
Z-Chen,3:00 AM,118.07,4/4拍,31
Leo Ku,天才與白痴 - Live,118.08,4/4拍,31
Sodagreen,左邊,119.75,4/4拍,31
Anita Mui,一生愛你千百回,119.87,4/4拍,31
Wang Feng,美麗世界的孤兒,119.87,4/4拍,31
"C AllStar, Sammi Cheng",時間之光 (with 鄭秀文),119.9,4/4拍,31
林志炫,散了吧,119.93,4/4拍,31
Andy Hui,昨遲人,119.95,4/4拍,31
S.H.E,独唱情歌,119.97,4/4拍,31
Shiga Lin,只要和你在一起,119.99,4/4拍,31
Faye Wong,感情生活,119.99,4/4拍,31
Leo Ku,愛神,120,4/4拍,31
Gigi Cheung,一樣,120.06,4/4拍,31
Jacky Cheung,愛是永恆,120.2,4/4拍,31
my little airport,讓我搭一班會爆炸的飛機,121.25,4/4拍,31
Princess Ai,可惜你不在,121.81,4/4拍,31
"Hins Cheung, Eric Suen",愛的故事上集 - Live,121.99,4/4拍,31
Linda Chung,I'll be Waiting for You,122,4/4拍,31
Jay Chou,擱淺 - 演唱會版,122.46,4/4拍,31
"Dave Wong, 陳秀男, Ye Chui Qing, chang Yong Fu",封鎖我一生,123.86,4/4拍,31
Cyndi Wang,愛太空,123.94,4/4拍,31
毛寧,濤聲依舊,123.95,4/4拍,31
Jay Chou,牛仔很忙,123.99,4/4拍,31
"Zhang Yu Sheng, Márk",一天到晚游泳的魚,124.03,4/4拍,31
TANK 呂建忠,我們小時候,124.04,4/4拍,31
"Dave Wong, 李子恆, chang Yong Fu",愛得太多,124.11,4/4拍,31
Kelvin Kwan,我還是甚麼,124.28,4/4拍,31
A-Mei Chang,前進烏托邦,124.96,4/4拍,31
Evan Yo,小乖乖,125,4/4拍,31
Eason Chan,娛樂天空,125,4/4拍,31
Mayday,有些事現在不做 一輩子都不會做了,125.04,4/4拍,31
梁紫丹,追梦人,125.09,4/4拍,31
Leehom Wang,Can You Feel My World,125.22,4/4拍,31
Leslie Cheung,怪你過份美麗,125.87,4/4拍,31
"MC HotDog, Zhang Zhen Yue, 關穎",嗨嗨人生,125.93,4/4拍,31
Fiona Sit,南瓜車,125.95,4/4拍,31
Rene Liu,繼續 - 給15歲的自己,125.98,4/4拍,31
Sandy Lam,灰色,125.99,4/4拍,31
Anita Mui,將冰山劈開,125.99,4/4拍,31
Zhao Chuan,勇敢一點,126.02,4/4拍,31
David Tao,太美麗,126.03,4/4拍,31
Power Station,第一滴淚,126.07,4/4拍,31
Jay Chou,說好的幸福呢+淘汰+青花瓷 - Live,126.11,4/4拍,31
Wu Bai,愛你一萬年,126.3,4/4拍,31
Phil Chang,小小的太陽,126.73,4/4拍,31
Karen Mok,完美孤獨,126.79,4/4拍,31
Fish Leong,用力抱著,126.91,4/4拍,31
Sodagreen,飛魚,127.02,4/4拍,31
WeiBird,還是愛著你,127.73,4/4拍,31
Joey Yung,分身術,127.94,4/4拍,31
Kay Tse,雞蛋與羔羊,127.96,4/4拍,31
Jacky Cheung,真情流露,127.97,4/4拍,31
海鳴威,你的承諾 - 國,127.98,4/4拍,31
S.H.E,他還是不懂,128.02,4/4拍,31
Elva Hsiao,不解釋親吻,128.04,4/4拍,31
玖壹壹,愛的總鋪師,128.05,4/4拍,31
Alan Tam,情人,128.06,4/4拍,31
劉文正,三月裡的小雨,128.34,4/4拍,31
"Jenny Tseng, Roman Tam",問誰領風騷 (電視劇 "成吉思汗" 主題曲),128.34,4/4拍,31
鳳飛飛,南屏晚鐘,128.63,4/4拍,31
Shunza,"寫一首歌 April 5, 1969",129.31,4/4拍,31
Hush!,天文特徵,129.49,4/4拍,31
龍飄飄,晚風,129.53,4/4拍,31
Hacken Lee,只想你會意,129.57,4/4拍,31
Mayday,後青春期的詩,129.62,4/4拍,31
Serene Koong,明知我愛你,129.72,4/4拍,31
杜麗莎,仍然記得個一次,129.73,4/4拍,31
Chris Yu,樓下那個女人,129.81,4/4拍,31
"Stefanie Sun, Tanya Chua",原點,129.85,4/4拍,31
Alfred Hui,亻言,129.91,4/4拍,31
Leon Lai,深秋的黎明,129.93,4/4拍,31
Richie Jen,對面的女孩看過來,129.94,4/4拍,31
Dear Jane,最後一次,129.94,4/4拍,31
Will Pan,24個比利,129.96,4/4拍,31
JJ Lin,"一千年後, 記得我",130,4/4拍,31
Tizzy Bac,"鞋貓夫人, Madame!!!",130,4/4拍,31
Bii,我們在愛中漫步 - 偶像劇「聽見幸福」插曲,130.06,4/4拍,31
Jinny Ng,錯的一天 - 劇集 "伙記辦大事" 片尾曲,130.07,4/4拍,31
Shiga Lin,為何要我愛上你,130.08,4/4拍,31
Fire EX.,心內話,130.18,4/4拍,31
Samantha Lam,初戀,130.38,4/4拍,31
劉文正,童年,130.46,4/4拍,31
Power Station,背叛情歌,130.68,4/4拍,31
"Leslie Cheung, Elisa Chan",只怕不再遇上,130.84,4/4拍,31
Joey Yung,辛苦你了,130.85,4/4拍,31
Janice Vidal,天敵,131.15,4/4拍,31
Kay Tse,團圓說,131.2,4/4拍,31
Serrini,忘鳥愛,131.59,4/4拍,31
Angela Chang,其實很愛你,131.68,4/4拍,31
Leslie Cheung,左右手,131.71,4/4拍,31
Where Chou,好想好好愛你,131.75,4/4拍,31
Dave Wong,故事的角色,131.84,4/4拍,31
Ronald Cheng,你的眼睛背叛了你的心 - 國,131.89,4/4拍,31
Hebe Tien,無常,131.89,4/4拍,31
TANK 呂建忠,如果我變成回憶,131.92,4/4拍,31
Landy Wen,藍色雨,131.96,4/4拍,31
輕鬆玩樂團,看清,131.96,4/4拍,31
Andy Lau,恭喜發財 - 國,131.97,4/4拍,31
Fiona Sit,男孩像你,132,4/4拍,31
Sorry Youth,無題,132.04,4/4拍,31
無印良品,想見你,132.06,4/4拍,31
卓文萱,永不消失的彩虹,132.15,4/4拍,31
F.I.R.,淚光閃爍,132.52,4/4拍,31
Random,夢中世界,133.94,4/4拍,31
Denise Ho,化蝶,134,4/4拍,31
Mixer,野生遊樂園,134.01,4/4拍,31
Kay Tse,眼淚的名字 - 電視劇 : 我愛你愛你愛我 插曲,134.07,4/4拍,31
Shiga Lin,I'm Still Loving You,134.44,4/4拍,31
Wakin Chau,刀劍若夢,134.85,4/4拍,31
Kelly Chen,大日子,135.03,4/4拍,31
Mavis Fan,稍息立正站好,135.13,4/4拍,31
Ivana Wong,突然一生人,135.31,4/4拍,31
SKY WU,寂寞公路,135.9,4/4拍,31
Jody Chiang,無情人請你離開,135.9,4/4拍,31
Janice Vidal,只要我們還有心,135.9,4/4拍,31
Charmaine Fong,哭乾了眼淚,135.95,4/4拍,31
Waa Wei,還是要相信愛情啊混蛋們,135.96,4/4拍,31
Mayday Parade,Is Nowhere,135.96,4/4拍,31
C AllStar,此刻無價,136,4/4拍,31
Gigi Leung,一天一天,136.06,4/4拍,31
Eman Lam,無忘花,136.14,4/4拍,31
Cheer Chen,After 17,136.29,4/4拍,31
"Aaron Kwok, Conrad Wong, John Lin Ming",狂野之城,136.43,4/4拍,31
AGA,若,136.7,4/4拍,31
Leo Ku,必殺技,136.89,4/4拍,31
Hins Cheung,狐,136.9,4/4拍,31
Julia Peng,好久不見,136.95,4/4拍,31
Leo Ku,任天堂流淚 - Live,136.97,4/4拍,31
Grasshopper,永遠愛著你 - Live,137.09,4/4拍,31
杜麗莎,假如,137.16,4/4拍,31
Jam Hsiao,你,137.31,4/4拍,31
Yoga Lin,誘,137.78,4/4拍,31
Sarah Chen,夢醒時分,137.81,4/4拍,31
Jay Fung,我好想你,137.87,4/4拍,31
HANA,天荒不老 - 劇集 "鐵拳英雄" 片尾曲,137.88,4/4拍,31
Eason Chan,反高潮,138,4/4拍,31
Ronald Cheng,我們,138.02,4/4拍,31
Karen Mok,電台情歌,138.02,4/4拍,31
Vivian Koo,哭牆 - 電視劇「香港愛情故事」片尾曲,138.93,4/4拍,31
Eason Chan,垃圾 - Live Version,139.07,4/4拍,31
my little airport,介乎法國與旺角的詩意,139.42,4/4拍,31
蘇慧倫,滿足,139.62,4/4拍,31
Hins Cheung,百年樹木 (Live),139.64,4/4拍,31
Yoga Lin,全世界誰傾聽你 (電影《從你的全世界路過》插曲),139.64,6/8拍,31
Justin Lo,三十日,139.68,4/4拍,31
Justin Lo,三十日,139.68,4/4拍,31
Joshua Band,安靜,139.71,4/4拍,31
Joey Yung,雙冠軍,139.78,4/4拍,31
盧學叡,可不可以愛我,139.84,4/4拍,31
Sodagreen,是我的海,139.87,4/4拍,31
Hello Nico,你是被抹去的那一段風景,139.91,4/4拍,31
万能青年旅店,不万能的喜剧,139.91,4/4拍,31
Yan Ting,自我催眠,139.91,4/4拍,31
Mayday Parade,I Can Only Hope,139.97,4/4拍,31
Stephanie Cheng,借,139.99,4/4拍,31
Leehom Wang,不完整的旋律,140.03,4/4拍,31
Xu Wei,旅行,140.04,4/4拍,31
Chet Lam,The Best is Yet To Come - 20 Years of Insomnia,140.04,4/4拍,31
Joyce Cheng,直覺,140.05,4/4拍,31
S.H.E,你不會,140.06,4/4拍,31
Chet Lam,The Best Is Yet to Come,140.09,4/4拍,31
William So,悲傷止步,140.67,4/4拍,31
馬兆駿,我要的不多,140.87,4/4拍,31
青山,淚的小花,141.17,4/4拍,31
Juno Mak,念念不忘,141.84,4/4拍,31
Xiao Yu,一個光年的距離,141.97,4/4拍,31
Eason Chan,夢的可能,142.01,4/4拍,31
那我懂你意思了,很幼稚嗎 ?,142.06,4/4拍,31
Sam Lee,靠近,142.07,4/4拍,31
WeiBird,狼,142.1,4/4拍,31
Chyi Yu,般若波羅蜜多心經,142.61,4/4拍,31
Serrini,若葉之年,142.78,6/8拍,31
Juno Mak,雷克雅未克,143.01,4/4拍,31
Serrini,青春荒廢,143.12,4/4拍,31
ToNick,離散序,143.12,4/4拍,31
林凡,歲月這把刀,143.89,4/4拍,31
楊宗憲,誰人甲我比,143.91,4/4拍,31
Sherman Chung,好好擁抱,143.96,4/4拍,31
Hebe Tien,矛盾,143.99,4/4拍,31
Eason Chan,最佳損友 - Single Version,144.23,4/4拍,31
Sodagreen,這天,144.82,4/4拍,31
Ekin Cheng,感激我遇見 - 劇場版,144.85,4/4拍,31
Jenny Tseng,誓言,145.27,4/4拍,31
Pakho Chau,不可能,145.9,4/4拍,31
JJ Lin,握不住的他,145.95,6/8拍,31
"Beyond, Junichi Yamazaki at Yamanakako Eggs Studio, Shep Studio and Sound Inn Studio",農民,145.96,4/4拍,31
Raymond Lam,唱情歌的人,146,4/4拍,31
Joey Yung,全身暑假,146,4/4拍,31
Hebe Tien,日常,146.01,4/4拍,31
Angela Chang,頭號甜心,146.04,4/4拍,31
Fish Leong,中間,146.05,4/4拍,31
Wu Bai,青春,146.52,4/4拍,31
Frandé,特別,146.76,4/4拍,31
Kenji Wu,殘廢,147.01,4/4拍,31
娃娃,開心女孩,147.57,4/4拍,31
Hacken Lee,情非首爾,147.61,4/4拍,31
Richie Jen,傷心太平洋,149.48,4/4拍,31
Leo Ku,眼睛不能沒眼淚,149.9,4/4拍,31
Zhang Zhen Yue,自由,149.92,4/4拍,31
Kelvin Kwan,飢餓遊戲,149.97,4/4拍,31
Elva Hsiao,類似愛情,150,4/4拍,31
張偉文,相識也是緣份,150.02,4/4拍,31
Cheer Chen,self,150.06,4/4拍,31
"Way Of Puzzle, YEARN",Sunrise,150.16,4/4拍,31
S.H.E,不作你的朋友,151.86,4/4拍,31
Mayday,牙關,151.93,4/4拍,31
my little airport,"Victor, Fly Me to Stafford",152.97,4/4拍,31
Zhao Chuan,我很醜可是我很溫柔,153,4/4拍,31
Endy Chow,理智與感情,153.92,4/4拍,31
Teresa Teng,千言萬語,155.01,4/4拍,31
PA PUN BAND,流浪王子,155.04,4/4拍,31
Mayday,有你的將來,158,4/4拍,31
TomFatKi,太陽花,159.8,4/4拍,31
李靖筠,00000,159.93,4/4拍,31
Mayday Parade,Letting Go,159.94,4/4拍,31
Dear Jane,愛的呼喚 (音樂永續作品),160.06,4/4拍,31
Fiona Sit,下次下次,163.8,4/4拍,31
Mayday,時光機,163.96,4/4拍,31
Mayday,為愛而生,164.15,4/4拍,31
Wu Bai,藍月,164.18,4/4拍,31
Faye Wong,我和我的祖国 - 同名电影主题曲,164.3,6/8拍,31
Janice Vidal,夏日傾情,165.94,4/4拍,31
Bii,我會在你身邊,166.04,4/4拍,31
Yoga Lin,感同身受,166.15,4/4拍,31
Jacky Cheung,心碎了無痕,168.03,4/4拍,31
Christopher Wong,傷感的戀人,168.31,4/4拍,31
Fei Yu-ching,春風吻上我的臉,169.77,4/4拍,31
Hins Cheung,My Way,169.89,4/4拍,31
"Danny Chan, Joe Wong, Tom Brown",念親恩,170.48,4/4拍,31
Eason Chan,1874,171.93,6/8拍,31
林宇中,空秋千,172.08,4/4拍,31
Mayday,彩虹,174,4/4拍,31
Daniel Chan,我比誰都清楚,174.36,4/4拍,31
Maggie Chiang,我多麼羨慕你,174.88,4/4拍,31
Fan Yi Chen,除此之外,175.71,4/4拍,31
Tsai Chin,讀你,176.9,4/4拍,31
Hebe Tien,這個人已經與我無關,177.68,4/4拍,31
Phil Chang,曲終人散,179.32,4/4拍,31
Ronald Cheng,人若然忘記了愛,179.61,4/4拍,31
Faye Wong,懷念,180.23,4/4拍,31
Leon Lai,如果可以再見你,180.68,4/4拍,31
Jacky Wu,沒妳的城市,181.22,4/4拍,31
Fish Leong,孤單北半球,188.09,4/4拍,31
Fei Yu-ching,拜大年,199.9,4/4拍,31
Mayday,而我知道,200.07,4/4拍,31
Janice Vidal,你知道我在等你們分手嗎?,203.96,4/4拍,31
"Victor Wong, Penny Tai",半生熟,205.74,4/4拍,31
Joey Yung,搜神記,207.58,4/4拍,31
Chiang Yu-Heng,像我這樣的人,69.71,4/4拍,30
Jay Chou,菊花台(演奏版),70.47,4/4拍,30
"Danny Chan, Tom Brown and Joe Wong",有了你,71.75,4/4拍,30
Angela Chang,我的最愛,71.98,4/4拍,30
Jacky Cheung,暗戀你,72.99,4/4拍,30
Twins,心系(电视剧《心想事成》片头主题曲),73.94,4/4拍,30
Alan Tam,Don't Say Goodbye,74.16,4/4拍,30
Dave Wong,一無所有(是否我真的一無所有),74.39,4/4拍,30
Stephy Tang,藍鞋子,74.39,4/4拍,30
"小羊詩歌, SehLin",我願為祢去,74.96,4/4拍,30
Jay Chou,軌跡 - 演唱會版,75.21,4/4拍,30
Janice Vidal,愛沒有假如,75.62,4/4拍,30
By2,愛丫愛丫,75.94,4/4拍,30
Patrick Tang,朋友二號,76.04,4/4拍,30
"Fei Yu-ching, Chang Li, Chi Tian Zhe Ye, Yang-Fu",塵緣,76.74,4/4拍,30
Janice Vidal,In Love Again (我這樣愛你),76.94,4/4拍,30
Sammi Cheng,對不起我忘了我愛你 (電影《世間有她》插曲) [feat. 馮德倫],76.96,4/4拍,30
Vivian Koo,若離於愛 (劇集《飛狐外傳》片尾曲),76.99,4/4拍,30
Endy Chow,雪國,77.08,4/4拍,30
Yen-J,謝謝你的美好,77.49,4/4拍,30
Teresa Teng,月亮代表我的心,77.95,4/4拍,30
"Jacky Cheung, Sandy Lam",日與夜 - 商業電台廣播戲”日與夜”主題曲,78.1,4/4拍,30
Eve Ai,Never Be the Same,78.47,4/4拍,30
路嘉欣,你不懂,78.97,4/4拍,30
葉啟田,成功的條件,79.05,4/4拍,30
Danny Chan,戀愛預告,79.5,4/4拍,30
Jody Chiang,不想伊,79.7,4/4拍,30
Mr.,想太多,79.96,4/4拍,30
JJ Lin,突然累了,79.98,4/4拍,30
"Della, 阿信",花火,79.98,4/4拍,30
"Van Ness Wu, Ryan Tedder",Is This All,80.05,4/4拍,30
呂珊,隨想曲,80.22,4/4拍,30
姚蘇蓉,今天不回家,80.31,4/4拍,30
羅大佑,之乎者也,80.42,4/4拍,30
柳影虹,換到千般恨 - 電視劇 "天蠶變" 插曲,80.72,4/4拍,30
Janice Vidal,My Love My Fate,80.84,4/4拍,30
Leon Lai,無名份的浪漫,80.87,4/4拍,30
Jade Kwan,無痛失戀,80.96,4/4拍,30
Leehom Wang,不要害怕,81,4/4拍,30
Nan Quan Mama,白色裂痕,81.06,4/4拍,30
劉文正,閃亮的日子,81.4,6/8拍,30
Eason Chan,傷信,81.55,4/4拍,30
劉文正,相思河畔,81.87,4/4拍,30
JJ Lin,編號 89757,81.99,4/4拍,30
Annabelle Lui,舊夢不須記,82.01,4/4拍,30
Cally Kwong,未曾深愛已無情,82.21,4/4拍,30
Dear Jane,牆紙 - Dear Jane Studio Live,82.99,4/4拍,30
陳彥允,基因決定我愛你 - 偶像劇「喜歡.一個人」插曲,84.03,4/4拍,30
"Matzka, A-Lin",嗚哇嗚,85,4/4拍,30
24Herbs,Do You Know Me,85,4/4拍,30
Twins,眼紅紅,85.07,4/4拍,30
羅大佑,亞細亞的孤兒,85.3,6/8拍,30
Leslie Cheung,明星,85.52,4/4拍,30
Dear Jane,終點的擁抱,86.62,5/4拍,30
¡MAYDAY!,Highs & Lows,87.21,4/4拍,30
Sam Lee,我以為,88.93,4/4拍,30
Teresa Teng,漫步人生路,89.75,4/4拍,30
泰迪羅賓,這是愛 - 電影 "胡越的故事" 歌曲,89.87,4/4拍,30
Hebe Tien,花花世界,90.06,4/4拍,30
潘越雲,純情青春夢,90.67,4/4拍,30
Cheer Chen,家,90.99,4/4拍,30
Serrini,長期浪漫,91.02,4/4拍,30
Jason Chan,墜落 (Novel Fergus Remix),91.97,4/4拍,30
楊峻榮,傷感列車,91.98,4/4拍,30
Chyi Yu,普門頌,92.05,4/4拍,30
David Tao,王八蛋,92.27,4/4拍,30
Leehom Wang,星座,93.02,4/4拍,30
S.H.E,不想長大,93.05,4/4拍,30
頑童Mj116,偷客兄,93.06,4/4拍,30
Valen Hsu,美夢成真,93.95,4/4拍,30
Paula Tsui,每日懷念你,94.4,4/4拍,30
Stefanie Sun,The moment,94.45,6/8拍,30
Hins Cheung,緋荔榭•少年 (Live),94.87,4/4拍,30
Joi Chua,愛如潮水(ST:愛你的餘溫),95.98,6/8拍,30
Hins Cheung,大霹靂,96,4/4拍,30
Jay Chou,半獸人,96.01,4/4拍,30
Michael Kwan,天蠶變 - 電視劇 "天蠶變" 主題曲,96.25,4/4拍,30
鳳飛飛,我是一片雲,96.68,6/8拍,30
Jay Fung,冬日寂寞考,96.85,4/4拍,30
Mayday,生存以上 生活以下,96.98,4/4拍,30
Mavis Fan,DARLING,97.26,6/8拍,30
my little airport,rm1210,97.59,6/8拍,30
南瓜妮歌迷俱樂部,微光,98.02,4/4拍,30
"Priscilla Chan, Jacky Cheung",夜半輕私語,98.09,4/4拍,30
Sandy Lam,激情,98.77,4/4拍,30
Hins Cheung,追風箏的孩子 (Hins Live in Passion 張敬軒演唱會 2014),98.91,4/4拍,30
my little airport,失落沮喪歌,98.97,4/4拍,30
Alien Huang,我不要長生不老,99.02,4/4拍,30
Pu Shu,"我愛你,再見",99.04,4/4拍,30
Teresa Teng,夜色,99.58,4/4拍,30
Wakin Chau,江湖笑,99.98,4/4拍,30
Mr.,尋找一千遍,100.05,4/4拍,30
Kay Tse,背山望海離不開 (Live),100.1,4/4拍,30
Andy Hui,一步一生,100.19,4/4拍,30
江淑娜,請你記得我的好,100.25,4/4拍,30
Juno Mak,瑕疵,100.66,4/4拍,30
Jia Liang Luo,天地有情,100.79,4/4拍,30
Justin Lo,決戰二世祖,100.97,4/4拍,30
Cosmos People,浪費一整天,101.81,4/4拍,30
Eason Chan,你有自己一套 - Live at EasON AIR,101.98,4/4拍,30
Hush!,波希米亞,102.91,4/4拍,30
Jason Chan,斷絕來往,103,4/4拍,30
Mayday,三個傻瓜,103.04,4/4拍,30
Jason Chan,斷絕來往,103.09,4/4拍,30
"Priscilla Chan, Jacky Cheung",一對寂寞的心,103.8,4/4拍,30
Janice Vidal,長痛短痛,104.02,4/4拍,30
Jason Chan,"10,000ft",104.27,4/4拍,30
Hins Cheung,我的天 (Hins Live in Passion 張敬軒演唱會 2014),104.37,4/4拍,30
Panther Chan,屈機,104.97,4/4拍,30
Eason Chan,謊言,104.99,4/4拍,30
"Fei Yu-ching, Chang Li, Chi Tian Zhe Te, Yang-Fu",花心,105.04,4/4拍,30
Cyndi Wang,陳淑芬與林志豪,105.07,4/4拍,30
Joey Yung,一拍兩散/罪人,105.29,4/4拍,30
韓寶儀,舞女淚,105.88,4/4拍,30
卓文萱,愛的城堡,106.02,4/4拍,30
Tanya Chua,夜盲症,106.99,4/4拍,30
李千那,愛到站了,107.06,4/4拍,30
Wakin Chau,其實不想走,107.94,4/4拍,30
"Miriam Yeung, 蔡德才",小飛俠,107.95,4/4拍,30
Kay Tse,鍾無艷 - Instrumental,108.15,4/4拍,30
Alan Tam,總有你鼓勵,109.02,4/4拍,30
The Hertz,So Deep!,109.49,4/4拍,30
Elva Hsiao,因為你,110,4/4拍,30
陳思安,想厝的人,110.03,4/4拍,30
Will Pan,誰是MVP,110.03,4/4拍,30
Sodagreen,被雨困住的城市,110.18,4/4拍,30
Sam Hui,梨渦淺笑,110.41,4/4拍,30
Eason Chan,愛是懷疑,110.49,4/4拍,30
Jody Chiang,愛我三分鐘 - Remastered,111.08,4/4拍,30
Teresa Teng,Tsugunai,111.17,4/4拍,30
Leon Lai,願你今夜別離去,111.68,4/4拍,30
Jody Chiang,七老八十,111.89,4/4拍,30
Tat Ming Pair,禁色,112.24,6/8拍,30
Jacky Cheung,明日世界終結時,112.52,6/8拍,30
Sally Yeh,黎明不要來,112.74,4/4拍,30
Jacky Cheung,原來只要共你活一天,113,4/4拍,30
Kevin Cheng,一千個願意,113.02,4/4拍,30
Mayday Parade,Where You Are,113.56,5/4拍,30
Andy Hui,豬先生,113.89,4/4拍,30
Linda Chung,其實我不快樂,113.92,4/4拍,30
Eason Chan,下週同樣時間 (再見) - Live at EasON AIR,113.97,4/4拍,30
Qian Bai Hui,想你的时候,113.98,6/8拍,30
Justin Lo,第一秒 (feat. Ted Lo),114.9,4/4拍,30
Abin Fang,膽小鬼,114.97,4/4拍,30
Eason Chan,打回原形,115.44,4/4拍,30
Anita Mui,壞女孩,116.18,4/4拍,30
Phil Chang,走樣,117.06,4/4拍,30
青山,尋夢園,117.87,4/4拍,30
林慧萍,我是如此愛你 - Remastered,117.92,4/4拍,30
"Stefanie Sun, Jerry, Lin Zheng-Zhong",開始懂了,117.93,4/4拍,30
"Da Mouth, Xin Mei Lan",Funky那個女孩,117.97,4/4拍,30
Jay Chou,迷迭香,117.97,4/4拍,30
988 DJs,春回大地贺新年,117.98,4/4拍,30
831,不是男人,118.04,4/4拍,30
Hebe Tien,請你給我好一點的情敵,118.05,4/4拍,30
Fiona Sit,蘇州河 - 慕容雪 - Mandarin Version,118.5,4/4拍,30
Jacky Cheung,舊情綿綿,118.85,4/4拍,30
Anita Mui,似是故人來,118.95,4/4拍,30
Christine Fan,啟程,118.95,4/4拍,30
JJ Lin,不懂,118.95,4/4拍,30
Zhang Qing Fang,激情過後 - 淬煉版,118.96,4/4拍,30
Justin Lo,感動 - Live,119.17,4/4拍,30
宋冬野,Intro,119.32,4/4拍,30
仙杜拉,风云,119.57,4/4拍,30
蔡秋鳳,爽到你艱苦到我,119.69,4/4拍,30
陶晶瑩,姊姊妹妹站起來,119.91,4/4拍,30
Linda Chung,發誓 - (電視劇 "搜神傳" 片尾曲),119.95,6/8拍,30
Jason Chan,閱後即焚,119.99,4/4拍,30
縱貫線,公路,120.01,4/4拍,30
Sodagreen,痛快的哀艷,120.02,4/4拍,30
Power Station,你把我灌醉,120.02,4/4拍,30
Denise Ho,韻律泳,120.02,4/4拍,30
Ronald Cheng,美女與野獸,120.04,4/4拍,30
"Lollipop F, 黑澀會美眉",黑糖秀主題曲 (feat. 黑澀會美眉),120.04,4/4拍,30
Joyce Cheng,有故事的人,120.12,4/4拍,30
Vivian Chow,自作多情,120.14,4/4拍,30
Cloud 雲浩影,到了那裏就對吧,120.18,4/4拍,30
Eason Chan,抱擁這分鐘,120.58,4/4拍,30
Leon Lai,那有一天不想你,120.96,4/4拍,30
Angela Chang,真的,121.8,4/4拍,30
Grasshopper,半點心,122.23,4/4拍,30
娃娃,漂洋過海來看你,122.27,4/4拍,30
Eric Suen,愛的故事上集 - Live,122.54,4/4拍,30
Anthony Wong,漩渦,123,4/4拍,30
Richie Jen,春天花會開,123.05,4/4拍,30
Rowena Cortes,千年女皇(無電視節目"430穿梭機"之"千年 女王"主題曲),123.28,4/4拍,30
A-Lin,勇敢的不是我,123.57,4/4拍,30
Hins Cheung,故事,123.74,4/4拍,30
Sam Hui,十個女仔,123.84,4/4拍,30
Janice Vidal,深愛,123.92,4/4拍,30
Leslie Cheung,今生今世,123.97,4/4拍,30
Richie Jen,愛的路上只有我和你,123.98,6/8拍,30
Janice Vidal,原來你什麼都想要,124.02,4/4拍,30
Landy Wen,北斗星,124.03,4/4拍,30
Eason Chan,Wu Ren Zhi Jing,124.04,4/4拍,30
Yoga Lin,You are my guiding eyes,124.09,4/4拍,30
Dave Wong,心癮,124.1,4/4拍,30
Jacky Cheung,聽海 - Live,124.89,4/4拍,30
Rainie Yang,可愛,124.92,4/4拍,30
Jianqing Li,匆匆,124.93,4/4拍,30
Alien Huang,超有感,124.98,4/4拍,30
Leo Ku,傷追人,125.01,4/4拍,30
Beyond,無語問蒼天,125.11,4/4拍,30
Eason Chan,一切還好,125.11,4/4拍,30
劉家昌,往事只能回味,125.22,4/4拍,30
Rainie Yang,只想愛你,125.96,4/4拍,30
Chilam,十指緊扣,126.01,4/4拍,30
Mayday,超人,126.09,4/4拍,30
Eason Chan,陀飛輪,126.21,4/4拍,30
Hins Cheung,過客別墅,126.88,4/4拍,30
Wanfang,割愛,127.71,4/4拍,30
Victor Wong,疼妳的責任,127.91,4/4拍,30
林志炫,輸了你 贏了世界又如何,127.94,4/4拍,30
Kaho Hung,主角光環 - Live,127.99,4/4拍,30
"Jason, Landy Wen",能不能,128.02,4/4拍,30
巫啟賢,愛情傀儡,128.03,4/4拍,30
Vincy Chan,你的承諾,128.03,4/4拍,30
Wakin Chau,濃情化不開,128.06,4/4拍,30
Jay Chou,瓦解 - 演唱會版,128.07,4/4拍,30
葉巧琳,勇者鬥惡言,128.08,4/4拍,30
"Sally Yeh, Unknown",迷惑,128.51,4/4拍,30
Sam Hui,搵嘢做,129.27,4/4拍,30
Leslie Cheung,今生今世,129.47,4/4拍,30
Stefanie Sun,我也很想他,129.78,4/4拍,30
Byejack,蒲公英,129.93,4/4拍,30
Justin Lo,悲中帶喜,129.94,4/4拍,30
Gigi Cheung,不言自明,129.96,4/4拍,30
Sam Lee,很想說,129.96,4/4拍,30
Jacky Wu,真心換絕情,129.97,4/4拍,30
JW,飄浮女孩,129.98,4/4拍,30
Juno Mak,秋分,129.98,4/4拍,30
831,渴了,130,4/4拍,30
胡歌,忘記時間,130,4/4拍,30
S.H.E,月桂女神,130.01,4/4拍,30
Magic Power,感覺犯,130.02,4/4拍,30
Waa Wei,門,130.41,4/4拍,30
Fish Leong,天燈,131.02,4/4拍,30
"Wakin Chau, Richie Jen",別傻了,131.21,4/4拍,30
Khalil Fong,You are the sunshine of my life,131.53,4/4拍,30
Ken Hung,獨活,131.75,4/4拍,30
無印良品,別人都說我們會分開,131.82,4/4拍,30
C AllStar,家書,131.88,4/4拍,30
JC 陳詠桐,一語道破,131.9,4/4拍,30
Cally Kwong,Rong Yi Shou Shang De Nu Ren,131.93,4/4拍,30
Faye Wong,臉,131.96,4/4拍,30
Justin Lo,愛的習慣,131.97,4/4拍,30
C AllStar,煉獄健身室 (feat. On),131.97,4/4拍,30
Supper Moment,風箏,131.97,4/4拍,30
